Environment,Seed,Noise_Type,Attack_Type,Highest_Score,Best_Epoch,Original_Log_Path
door-expert-v0,0,Adversarial,act,104.0342,60,Full_Scale_Experiments/seed_0_adversarial_act/door-expert-v0/WT_RDT_door-expert-v0_adv_act_0_20260428125228_51d26a67-0749-4caa-9a48-bc8e4bae04ea
door-expert-v0,1,Adversarial,act,103.6621,20,Full_Scale_Experiments/seed_1_adversarial_act/door-expert-v0/WT_RDT_door-expert-v0_adv_act_1_20260428125229_b6575323-0629-4eb6-8ac9-1f9f705f87e9
door-expert-v0,0,Adversarial,obs,104.9228,80,Full_Scale_Experiments/seed_0_adversarial_obs/door-expert-v0/WT_RDT_door-expert-v0_adv_obs_0_20260428122237_25f4da07-09b7-411e-986b-42bd530eb8ce
door-expert-v0,1,Adversarial,obs,105.1805,50,Full_Scale_Experiments/seed_1_adversarial_obs/door-expert-v0/WT_RDT_door-expert-v0_adv_obs_1_20260428122238_81c65593-69bd-4f82-86b9-5ef31eea8999
door-expert-v0,0,Adversarial,rew,104.2841,70,Full_Scale_Experiments/seed_0_adversarial_rew/door-expert-v0/WT_RDT_door-expert-v0_adv_rew_0_20260428132006_e60d03f8-e177-494b-a5e8-1d6221180ac3
door-expert-v0,1,Adversarial,rew,104.8977,40,Full_Scale_Experiments/seed_1_adversarial_rew/door-expert-v0/WT_RDT_door-expert-v0_adv_rew_1_20260428132007_c92543dc-81a3-4deb-a08b-b1165514a754
door-expert-v0,0,Random,act,105.3619,90,Full_Scale_Experiments/seed_0_random_act/door-expert-v0/WT_RDT_door-expert-v0_rnd_act_0_20260428111821_2cb0ace8-6fd1-443f-be3b-9a483bbb356e
door-expert-v0,1,Random,act,104.9857,20,Full_Scale_Experiments/seed_1_random_act/door-expert-v0/WT_RDT_door-expert-v0_rnd_act_1_20260428111822_4f22b6e0-c40f-40a6-9ae3-e73362e810b8
door-expert-v0,0,Random,obs,104.6448,100,Full_Scale_Experiments/seed_0_random_obs/door-expert-v0/WT_RDT_door-expert-v0_rnd_obs_0_20260428104814_e1ab41a2-0d7f-4122-b2dd-f50767db4b01
door-expert-v0,1,Random,obs,104.8818,70,Full_Scale_Experiments/seed_1_random_obs/door-expert-v0/WT_RDT_door-expert-v0_rnd_obs_1_20260428104815_278d4b70-2235-4e8e-9ac1-68f5bdd4123a
door-expert-v0,0,Random,rew,104.489,100,Full_Scale_Experiments/seed_0_random_rew/door-expert-v0/WT_RDT_door-expert-v0_rnd_rew_0_20260428114443_b4dc108b-fba8-4d57-b957-2aaec62211f6
door-expert-v0,1,Random,rew,105.2561,40,Full_Scale_Experiments/seed_1_random_rew/door-expert-v0/WT_RDT_door-expert-v0_rnd_rew_1_20260428114444_1a9d308e-3456-4d5c-a7eb-165432f249cf
halfcheetah-medium-replay-v2,0,Adversarial,act,32.8866,90,Full_Scale_Experiments/seed_0_adversarial_act/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_adv_act_0_20260428185623_603a7e7c-1d6a-438d-8b2c-ccd6ed948231
halfcheetah-medium-replay-v2,1,Adversarial,act,33.3655,70,Full_Scale_Experiments/seed_1_adversarial_act/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_adv_act_1_20260428185624_5ee62935-e104-427b-9e1b-7fd55b65b8dc
halfcheetah-medium-replay-v2,0,Adversarial,obs,19.1708,80,Full_Scale_Experiments/seed_0_adversarial_obs/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_adv_obs_0_20260428175122_bdbb6ba2-448c-426f-b823-3be72355b118
halfcheetah-medium-replay-v2,1,Adversarial,obs,14.9739,60,Full_Scale_Experiments/seed_1_adversarial_obs/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_adv_obs_1_20260428175123_d7eb8cf9-7ea0-4720-8f69-ebffa40227d7
halfcheetah-medium-replay-v2,0,Adversarial,rew,39.2896,70,Full_Scale_Experiments/seed_0_adversarial_rew/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_adv_rew_0_20260428195848_1b379d0f-7d27-4f9d-9a26-8bb8bda26950
halfcheetah-medium-replay-v2,1,Adversarial,rew,38.5935,100,Full_Scale_Experiments/seed_1_adversarial_rew/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_adv_rew_1_20260428195849_f5289cc2-75d3-4c25-96aa-be4cfcbd924e
halfcheetah-medium-replay-v2,0,Random,act,35.3642,100,Full_Scale_Experiments/seed_0_random_act/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_rnd_act_0_20260428145549_430858dc-b800-45fa-baba-03198596d638
halfcheetah-medium-replay-v2,1,Random,act,31.0221,70,Full_Scale_Experiments/seed_1_random_act/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_rnd_act_1_20260428145550_69f69813-f727-427d-9210-e0fec37a0fbe
halfcheetah-medium-replay-v2,0,Random,obs,16.1275,90,Full_Scale_Experiments/seed_0_random_obs/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_rnd_obs_0_20260428135107_b1acb776-20a4-4d17-bb70-7b3136875ff4
halfcheetah-medium-replay-v2,1,Random,obs,18.7464,50,Full_Scale_Experiments/seed_1_random_obs/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_rnd_obs_1_20260428135108_46007b7b-e380-4bce-bcad-a501ba8380cb
halfcheetah-medium-replay-v2,0,Random,rew,39.125,60,Full_Scale_Experiments/seed_0_random_rew/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_rnd_rew_0_20260428160049_f63cee68-43c0-4c37-9e83-d840043c5970
halfcheetah-medium-replay-v2,1,Random,rew,37.6321,70,Full_Scale_Experiments/seed_1_random_rew/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_rnd_rew_1_20260428160050_310e6fb4-b59b-4131-93fe-aa2f39aa3f40
