Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
17.81,68.12,0.00,0.00,16.19,25.48,19.65,76.42,43.47,61.20,-0.00,174.08,0.00,0.00,586.27,0.00
16.14,74.75,0.00,0.00,16.75,25.42,17.87,75.39,43.28,69.23,40.15,126.63,0.00,63.07,679.87,-0.00
16.10,75.88,0.00,0.00,19.09,26.14,17.20,65.71,41.18,70.41,104.53,120.88,0.00,339.23,606.31,0.00
16.10,78.25,0.00,0.00,21.39,26.29,14.03,56.93,41.66,88.09,151.50,71.06,-0.00,435.09,591.21,-0.00
16.16,77.75,0.00,0.00,23.67,26.19,14.76,48.95,41.76,81.61,192.38,35.66,0.00,499.35,338.38,0.00
16.26,76.38,0.00,0.00,25.37,25.82,12.33,43.40,43.19,93.39,224.95,0.00,-0.00,465.89,0.00,0.00
16.36,75.38,0.00,0.00,25.62,24.82,12.17,43.04,47.18,92.41,175.85,0.00,0.00,592.23,0.00,0.00
17.02,73.75,41.06,64.50,25.57,24.45,13.24,42.83,46.69,83.39,128.01,-0.00,36.26,687.25,-0.00,16.62
19.02,66.12,103.88,337.12,25.90,23.18,13.01,41.90,49.71,85.13,118.91,0.00,117.37,596.44,0.00,64.38
21.38,57.00,151.31,434.56,25.97,23.12,14.01,42.64,48.20,80.80,69.53,-0.00,179.16,578.48,-0.00,19.58
23.51,49.62,189.81,492.69,25.92,21.76,15.55,42.57,51.15,74.14,35.02,0.00,239.24,332.28,0.00,53.90
25.24,43.88,222.50,460.81,25.65,20.58,14.86,43.72,54.81,77.06,0.00,-0.00,260.73,0.00,-0.00,150.74
25.74,42.62,177.62,598.19,24.86,19.57,15.66,47.03,61.54,69.90,0.00,0.00,257.73,0.00,0.00,42.75
25.70,42.38,129.38,694.62,24.26,17.82,16.57,47.35,69.49,62.79,-0.00,-0.00,262.54,-0.00,-0.00,41.32
25.70,42.62,116.94,586.56,23.24,16.60,14.67,49.48,73.70,67.41,0.00,0.00,182.52,0.00,0.00,87.17
25.70,43.62,68.00,565.75,22.79,14.45,14.69,49.41,85.61,63.62,-0.00,0.00,112.50,-0.00,-0.00,194.89
25.70,43.38,34.38,326.19,21.69,14.33,15.45,51.39,84.24,57.95,0.00,0.00,60.75,0.00,-0.00,264.15
25.51,44.25,0.00,0.00,20.70,12.76,13.78,54.34,90.70,63.33,-0.00,0.00,0.00,-0.00,0.00,0.00
24.90,46.88,0.00,0.00,19.53,12.32,12.88,61.71,91.46,65.02,0.00,0.00,0.00,0.00,0.00,0.00
24.10,48.00,0.00,0.00,17.79,12.76,12.20,69.62,86.45,66.82,-0.00,35.10,-0.00,-0.00,16.09,-0.00
23.30,49.25,0.00,0.00,16.30,13.08,10.53,75.35,84.69,76.31,0.00,118.00,0.00,0.00,64.72,0.00
